#wl	elem	excit	loggf	vdwaals	Do
5435.170	26.0	4.43	-2.19	-7.16	 
5435.191	22.0	3.15	-2.55	-7.54	 
5435.672	42.0	2.5	-1.362	0.0	 
5435.863	28.0	1.99	-2.314	-7.77	 
5436.256	24.0	4.41	-1.666	-7.42	 
5436.295	26.0	4.39	-1.44	-7.187	 
5436.590	26.0	2.28	-2.964	-7.579	 
5436.710	22.0	0.9	-2.471	-7.727	 
5436.996	27.0	4.11	-0.401	-7.48	 
5437.083	26.0	2.45	-4.111	-7.73	 
5437.196	26.0	4.313	-2.761	-7.52	 
5437.256	41.0	0.657	-1.108	-7.76	 
5437.658	23.0	2.374	-0.885	-7.76	 
5444.584	27.0	4.07	-0.281	-7.51	 
5444.843	16.0	9.76	-5.069	-6.7	 
5445.049	26.0	4.39	0.084	-7.189	 
5446.195	21.0	2.01	-0.002	-7.56	 
5446.582	26.0	4.42	-0.311	-7.51	 
5446.615	22.0	0.02	-3.26	-7.734	 
5446.872	26.0	1.61	-3.109	-7.684	 
5446.924	26.0	0.99	-1.851	-7.753	 
5447.233	28.0	3.84	-2.692	-7.51	 
5447.385	21.0	1.85	-1.392	-7.69	 
5447.507	606.0	0.88	0.123	0.0	6.25
5447.550	25.0	6.24	-0.145	-7.55	 
5447.673	606.0	0.88	-5.245	0.0	6.25
5447.675	22.0	3.57	-4.733	-7.66	 
5447.917	22.0	2.49	-1.472	-7.77	 
5453.987	26.0	4.15	-2.434	-7.47	 
5454.099	22.1	1.57	-3.6	-7.84	 
5454.570	27.0	4.07	0.238	-7.51	 
5455.103	26.0	3.25	-4.619	-7.82	 
5455.459	26.0	4.32	-2.356	-7.52	 
5455.454	26.0	4.32	0.27	-7.52	 
5455.601	25.0	2.953	-4.39	-7.77	 
5455.609	26.0	1.011	-2.093	0.0	 
5455.864	606.0	0.89	0.468	0.0	6.25
5455.958	22.0	1.43	-2.35	-7.69	 
5456.339	26.0	5.11	-3.012	-7.49	 
5456.349	606.0	0.95	0.513	0.0	6.25
5456.383	58.0	0.17	-7.327	0.0	 
5456.456	606.0	0.84	-5.03	0.0	6.25
5456.513	26.0	3.6	-3.33	-7.55	 
5456.617	68.0	1.2	1.585	0.0	 
5456.893	22.0	2.58	-1.36	-7.71	 
5457.069	606.0	1.44	-5.368	0.0	6.25
