#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5389.975	22.1	3.12	-3.760	-7.830	nan	0.09
5389.989	22.0	1.87	-1.135	-7.77	nan	8.51
5390.380	24.0	3.37	-1.016	-7.770	nan	10.10
5390.523	22.0	0.81	-1.465	-7.810	nan	31.20
5390.523	58.1	0.96	-1.191	0.000	nan	4.82
5390.770	27.0	4.05	-0.844	-7.510	nan	0.50
5391.330	112.0	1.02	-0.737	0.000	1.34	0.07
5391.339	24.0	3.37	-1.263	-7.770	nan	6.06
5391.366	24.0	4.54	-2.270	-7.780	nan	0.05
5391.459	26.0	4.15	-0.777	-7.530	nan	83.84
5391.592	22.0	0.90	-3.370	-7.770	nan	0.41
5391.620	606.0	1.19	0.556	0.000	6.25	6.66
5391.620	26.0	3.63	-2.200	-7.820	nan	31.70
5391.656	29.0	5.51	0.527	-7.590	nan	9.37
5392.015	26.0	4.80	-2.026	-7.320	nan	5.80
5392.331	28.0	4.15	-1.303	-7.192	nan	12.70
5392.356	28.0	3.80	-3.813	-7.510	nan	0.10
5393.167	26.0	3.24	-0.746	-7.235	nan	164.54
5393.251	112.0	0.70	0.460	0.000	1.34	0.00
5393.262	23.0	1.87	-2.166	-7.780	nan	0.07
5393.391	112.0	0.67	-1.657	0.000	1.34	0.02
5393.392	58.1	1.10	-0.060	0.000	nan	1.45
5393.426	112.0	0.96	-1.112	0.000	1.34	0.03
5393.878	112.0	0.67	-0.704	0.000	1.34	0.16
5393.913	26.0	3.05	-4.221	-7.830	nan	1.86
5394.304	22.0	3.29	-2.490	-7.540	nan	0.01
5394.346	26.0	4.83	-2.507	-7.320	nan	1.90
5394.626	25.0	0.0	-4.07	-7.795	nan	74
5394.657	25.0	0.0	-4.988	-7.795	nan	74
5394.661	25.0	0.0	-4.21	-7.795	nan	74
5394.684	25.0	0.0	-6.205	-7.795	nan	74
5394.687	25.0	0.0	-4.812	-7.795	nan	74
5394.690	25.0	0.0	-4.368	-7.795	nan	74
5394.709	25.0	0.0	-5.853	-7.795	nan	74
5394.712	25.0	0.0	-4.786	-7.795	nan	74
5394.714	25.0	0.0	-4.552	-7.795	nan	74
5394.728	25.0	0.0	-5.728	-7.795	nan	74
5394.730	25.0	0.0	-4.853	-7.795	nan	74
5394.731	25.0	0.0	-4.774	-7.795	nan	74
5394.741	25.0	0.0	-5.807	-7.795	nan	74
5394.742	25.0	0.0	-5.029	-7.795	nan	74
5394.743	25.0	0.0	-5.059	-7.795	nan	74
5395.186	58.1	1.67	-0.865	0.0	nan	0.2
5395.217	26.0	4.45	-1.714	-7.143	nan	20.0
5395.230	606.0	1.12	-0.996	0.0	6.25	0.1
5395.252	58.0	0.03	-1.035	0.000	nan	0.00
5395.332	112.0	0.84	-0.560	0.000	1.34	0.15
5395.408	22.0	3.11	-1.355	-7.540	nan	0.30
5395.445	606.0	1.18	0.555	0.000	6.25	3.29
